Frekuensi,Z-M1,Fase,Kategori
80000,3554.771,18.418,diabetes
85000,3525.583,20.543,diabetes
90000,3498.928,22.725,diabetes
95000,3459.809,24.922,diabetes
100000,3431.401,27.053,diabetes
100,4446.937,14.133,diabetes
150,4109.218,7.829,diabetes
200,3913.816,3.622,diabetes
250,3791.459,0.88,diabetes
300,3695.019,-1.044,diabetes
350,3656.79,-2.46,diabetes
400,3611.167,-3.477,diabetes
450,3555.104,-4.104,diabetes
500,3520.301,-4.659,diabetes
550,3482.901,-5.194,diabetes
600,3464.675,-5.316,diabetes
650,3432.044,-5.431,diabetes
700,3415.044,-6.458,diabetes
750,3402.588,-6.532,diabetes
800,3382.563,-6.805,diabetes
850,3368.647,-7.065,diabetes
900,3343.179,-7.123,diabetes
950,3334.42,-7.324,diabetes
1000,3322.258,-7.476,diabetes
1500,3267.005,-8.926,diabetes
2000,3236.842,-8.894,diabetes
2500,3187.188,-8.87,diabetes
3000,3170.806,-8.839,diabetes
3500,3167.54,-9.089,diabetes
4000,3159.833,-9.083,diabetes
4500,3156.283,-9.026,diabetes
5000,3152.145,-9.19,diabetes
5500,3130.953,-8.211,diabetes
6000,3131.833,-8.729,diabetes
6500,3133.007,-8.893,diabetes
7000,3126.556,-8.778,diabetes
7500,3118.657,-8.731,diabetes
8000,3105.535,-8.212,diabetes
8500,3097.109,-8.545,diabetes
9000,3087.548,-9.012,diabetes
9500,3083.501,-8.661,diabetes
10000,3091.311,-8.329,diabetes
15000,3070.815,-9.103,diabetes
20000,3055.891,-5.833,diabetes
25000,3045.886,-4.439,diabetes
30000,3031.65,-2.82,diabetes
35000,3018.33,-0.985,diabetes
40000,3004.786,0.992,diabetes
45000,2997.195,3.063,diabetes
50000,2985.703,5.214,diabetes
55000,2974.256,7.432,diabetes
60000,2958.414,9.6,diabetes
65000,2944.312,11.799,diabetes
70000,2934.398,14.002,diabetes
75000,2932.199,16.199,diabetes
80000,2925.065,18.402,diabetes
85000,2916.855,20.527,diabetes
90000,2909.758,22.71,diabetes
95000,2898.602,24.899,diabetes
100000,2880.193,27.104,diabetes
100,4436.533,13.833,diabetes
150,4176.366,7.836,diabetes
200,4028.403,3.609,diabetes
250,3956.955,0.883,diabetes
300,3916.016,-1.048,diabetes
350,3871.147,-2.465,diabetes
400,3840.44,-3.425,diabetes
450,3826.791,-4.254,diabetes
500,3813.548,-4.832,diabetes
550,3797.503,-5.148,diabetes
600,3788.619,-5.258,diabetes
650,3776.569,-5.494,diabetes
700,3770.912,-6.338,diabetes
750,3760.328,-6.445,diabetes
800,3752.233,-6.828,diabetes
850,3746.963,-7.272,diabetes
900,3745.91,-7.174,diabetes
950,3743.454,-7.325,diabetes
1000,3735.746,-7.454,diabetes
1500,3704.031,-6.83,diabetes
2000,3692.942,-7.68,diabetes
2500,3681.887,-7.772,diabetes
3000,3678.783,-8.741,diabetes
3500,3679.817,-8.574,diabetes
4000,3674.994,-9.048,diabetes
4500,3671.896,-9.026,diabetes
5000,3669.833,-8.763,diabetes
5500,3671.208,-8.468,diabetes
6000,3663.649,-8.729,diabetes
6500,3666.739,-8.786,diabetes
7000,3668.801,-8.474,diabetes
7500,3665.709,-8.512,diabetes
8000,3667.427,-8.534,diabetes
8500,3669.145,-8.4,diabetes
9000,3662.276,-8.706,diabetes
9500,3660.561,-8.372,diabetes
10000,3661.247,-8.266,diabetes
15000,3655.42,-7.167,diabetes
20000,3643.111,-5.733,diabetes
25000,3625.405,-4.578,diabetes
30000,3612.52,-2.858,diabetes
35000,3588.905,-0.982,diabetes
40000,3566.447,0.993,diabetes
45000,3550.444,3.073,diabetes
50000,3531.202,5.203,diabetes
55000,3516.346,7.392,diabetes
60000,3489.434,9.637,diabetes
65000,3463.053,11.797,diabetes
70000,3440.737,13.988,diabetes
75000,3414.724,16.199,diabetes
80000,3398.446,18.379,diabetes
85000,3382.563,20.525,diabetes
90000,3350.391,22.764,diabetes
95000,3322.881,24.914,diabetes
100000,3291.276,27.044,diabetes
100,4482.913,14.153,diabetes
150,4236.666,7.821,diabetes
200,4081.974,3.604,diabetes
250,3996.823,0.878,diabetes
300,3952.879,-1.04,diabetes
350,3929.615,-2.443,diabetes
400,3898.079,-3.373,diabetes
450,3869.334,-4.203,diabetes
500,3845.841,-4.563,diabetes
550,3835.765,-4.931,diabetes
600,3826.074,-5.397,diabetes
650,3823.207,-5.034,diabetes
700,3813.905,-6.408,diabetes
750,3809.263,-6.415,diabetes
800,3801.063,-6.83,diabetes
850,3797.147,-7.269,diabetes
900,3784.007,-7.145,diabetes
950,3785.071,-7.354,diabetes
1000,3783.652,-7.488,diabetes
1500,3756.806,-8.798,diabetes
2000,3743.104,-9.111,diabetes
2500,3724.912,-9.403,diabetes
3000,3720.726,-8.917,diabetes
3500,3709.24,-9.089,diabetes
4000,3708.545,-9.229,diabetes
4500,3700.215,-8.934,diabetes
5000,3703.684,-8.922,diabetes
5500,3693.288,-9.044,diabetes
6000,3698.136,-8.846,diabetes
6500,3697.443,-8.737,diabetes
7000,3695.019,-8.615,diabetes
7500,3700.215,-8.731,diabetes
8000,3690.175,-8.735,diabetes
8500,3687.41,-8.707,diabetes
9000,3688.447,-7.985,diabetes
9500,3694.326,-8.227,diabetes
10000,3686.719,-8.741,diabetes
15000,3678.783,-9.6,diabetes
20000,3671.552,-5.64,diabetes
25000,3660.904,-4.462,diabetes
30000,3645.16,-2.82,diabetes
