Frekuensi,Z-M1,Fase,Kategori
25000,4459.872,4.471,Sehat
30000,4443.189,5.986,Sehat
35000,4429.887,7.7,Sehat
40000,4417.039,9.596,Sehat
45000,4399.28,11.587,Sehat
50000,4386.932,13.729,Sehat
55000,4370.522,15.94,Sehat
60000,4355.805,18.175,Sehat
65000,4350.503,20.395,Sehat
70000,4335.448,22.709,Sehat
75000,4328.142,24.933,Sehat
80000,4318.825,27.202,Sehat
85000,4305.09,29.467,Sehat
90000,4298.238,31.726,Sehat
95000,4277.348,33.902,Sehat
100000,4254.566,36.149,Sehat
100,6409.642,25.134,Sehat
150,5951.794,19.79,Sehat
200,5648.097,16.136,Sehat
250,5448.502,13.166,Sehat
300,5282.125,11.051,Sehat
350,5199.147,9.549,Sehat
400,5094.031,8.35,Sehat
450,5032.834,7.327,Sehat
500,4990.574,6.595,Sehat
550,4948.669,5.979,Sehat
600,4919.084,5.481,Sehat
650,4890.134,5.003,Sehat
700,4872.298,4.729,Sehat
750,4852.708,4.393,Sehat
800,4842.716,4.085,Sehat
850,4829.123,3.933,Sehat
900,4807.904,3.686,Sehat
950,4797.105,3.498,Sehat
1000,4784.089,3.363,Sehat
1500,4686.926,2.517,Sehat
2000,4647.135,2.039,Sehat
2500,4615.459,1.827,Sehat
3000,4590.446,1.748,Sehat
3500,4568.136,1.709,Sehat
4000,4547.638,1.527,Sehat
4500,4539.975,1.686,Sehat
5000,4525.112,1.563,Sehat
5500,4516.641,1.528,Sehat
6000,4522.145,1.428,Sehat
6500,4516.217,1.599,Sehat
7000,4506.918,1.422,Sehat
7500,4506.496,1.562,Sehat
8000,4503.119,1.624,Sehat
8500,4504.807,1.716,Sehat
9000,4498.059,1.651,Sehat
9500,4497.638,1.723,Sehat
10000,4496.795,1.714,Sehat
15000,4481.233,2.552,Sehat
20000,4477.456,3.281,Sehat
25000,4460.29,4.518,Sehat
30000,4451.522,5.977,Sehat
35000,4431.133,7.677,Sehat
40000,4415.798,9.573,Sehat
45000,4404.642,11.603,Sehat
50000,4385.699,13.768,Sehat
55000,4376.258,15.961,Sehat
60000,4365.611,18.175,Sehat
65000,4354.989,20.44,Sehat
70000,4337.479,22.712,Sehat
75000,4325.71,24.948,Sehat
80000,4320.444,27.202,Sehat
85000,4313.568,29.457,Sehat
90000,4295.42,31.706,Sehat
95000,4278.951,33.927,Sehat
100000,4253.37,36.147,Sehat
100,6418.055,25.233,Sehat
150,5960.164,19.847,Sehat
200,5644.394,15.972,Sehat
250,5435.246,13.129,Sehat
300,5279.157,11.097,Sehat
350,5190.872,9.44,Sehat
400,5092.6,8.305,Sehat
450,5035.664,7.307,Sehat
500,4993.848,6.514,Sehat
550,4948.669,5.977,Sehat
600,4912.175,5.444,Sehat
650,4891.967,5.04,Sehat
700,4868.647,4.629,Sehat
750,4853.617,4.358,Sehat
800,4840.447,4.056,Sehat
850,4820.986,3.844,Sehat
900,4804.752,3.607,Sehat
950,4790.817,3.512,Sehat
1000,4776.923,3.293,Sehat
1500,4697.917,2.458,Sehat
2000,4653.671,1.948,Sehat
2500,4615.459,1.844,Sehat
3000,4580.136,1.626,Sehat
3500,4569.848,1.514,Sehat
4000,4552.754,1.511,Sehat
4500,4545.934,1.412,Sehat
5000,4527.232,1.468,Sehat
5500,4521.721,1.599,Sehat
6000,4510.72,1.549,Sehat
6500,4514.948,1.447,Sehat
7000,4508.607,1.656,Sehat
7500,4507.763,1.562,Sehat
8000,4502.275,1.494,Sehat
8500,4505.229,1.643,Sehat
9000,4503.119,1.632,Sehat
9500,4493.426,1.654,Sehat
10000,4496.374,1.815,Sehat
15000,4479.135,2.465,Sehat
20000,4475.359,3.33,Sehat
25000,4459.454,4.493,Sehat
30000,4444.438,5.941,Sehat
35000,4429.887,7.68,Sehat
40000,4417.867,9.636,Sehat
45000,4405.054,11.605,Sehat
50000,4388.576,13.755,Sehat
55000,4377.899,15.968,Sehat
60000,4363.975,18.203,Sehat
65000,4354.173,20.431,Sehat
70000,4333.011,22.707,Sehat
75000,4334.229,24.936,Sehat
80000,4327.331,27.223,Sehat
85000,4305.493,29.447,Sehat
90000,4293.81,31.691,Sehat
95000,4274.544,33.918,Sehat
