,Frekuensi,Z-M1,Fase,Kategori
428,85000,3299.922,20.537,diabetes
429,7500,3818.911,-7.676,diabetes
430,85000,3463.377,20.402,diabetes
431,15000,3821.417,-7.063,diabetes
432,7500,3664.635,-9.675,diabetes
433,30000,3469.506,-3.926,diabetes
434,150,5955.141,19.667,Sehat
435,800,3543.465,-6.951,diabetes
436,55000,3467.923,5.12,diabetes
437,4000,3987.846,-2.603,prediabet
438,4500,4252.573,-2.658,prediabet
439,6500,4235.872,-2.821,prediabet
440,200,4540.826,9.072,prediabet
441,250,5426.087,13.365,Sehat
442,95000,4243.021,33.738,Sehat
443,40000,4388.165,9.539,Sehat
444,3000,3887.138,-4.197,prediabet
445,250,4027.6,-0.533,diabetes
446,25000,3365.808,-6.764,diabetes
447,100000,3379.078,25.122,diabetes
448,2500,3643.111,-10.629,diabetes
449,400,3743.76,-4.562,diabetes
450,500,3851.203,-5.486,diabetes
451,80000,2831.462,17.505,diabetes
452,650,3866.434,-1.526,prediabet
453,200,4502.275,9.236,prediabet
454,450,3520.259,-5.532,diabetes
455,6000,3997.198,-3.204,prediabet
456,70000,3943.631,20.007,prediabet
457,9500,4241.432,-2.382,prediabet
458,45000,4135.095,8.983,prediabet
459,4000,3730.804,-9.573,diabetes
460,750,3939.569,-2.353,prediabet
461,3500,3066.178,-9.551,diabetes
462,3500,4534.874,1.348,Sehat
463,85000,3119.241,18.467,diabetes
464,15000,3983.365,-2.49,prediabet
465,600,3798.525,-6.998,diabetes
466,5500,4504.807,1.189,Sehat
467,30000,3896.254,1.719,prediabet
468,2000,4657.597,1.856,Sehat
469,6000,4056.81,-2.472,prediabet
470,450,3869.334,-4.203,diabetes
471,750,3772.28,-7.847,diabetes
472,50000,4021.992,11.055,prediabet
473,6000,4524.688,1.533,Sehat
474,60000,3934.404,15.721,prediabet
475,8000,3625.745,-10.471,diabetes
476,5500,3663.306,-8.494,diabetes
477,700,3454.303,-8.799,diabetes
478,10000,3611.461,-9.178,diabetes
479,3000,3684.258,-9.544,diabetes
480,600,4896.552,5.496,Sehat
481,100000,4227.15,35.917,Sehat
482,9500,3356.32,-8.961,diabetes
483,3500,3709.24,-9.089,diabetes
484,7500,4506.496,1.562,Sehat
485,2000,4186.552,-2.371,prediabet
486,95000,4252.573,33.773,Sehat
487,550,3721.03,-6.471,diabetes
488,2500,3365.136,-9.328,diabetes
489,75000,4112.299,22.131,prediabet
490,200,3788.573,2.188,diabetes
491,85000,4276.146,29.275,Sehat
492,70000,3429.752,12.811,diabetes
493,80000,4319.635,27.167,Sehat
494,5000,3409.928,-10.709,diabetes
495,85000,3449.452,18.55,diabetes
