,Frekuensi,Z-M1,Fase,Kategori
508,750,3781.127,-7.838,diabetes
509,70000,3244.394,13.068,diabetes
510,35000,4441.94,7.722,Sehat
511,9000,4060.613,-2.168,prediabet
512,8000,3834.687,-3.983,prediabet
513,350,4222.4,2.227,prediabet
514,15000,3355.732,-9.248,diabetes
515,6500,3692.25,-8.028,diabetes
516,9000,3676.027,-10.094,diabetes
517,8500,3656.447,-10.476,diabetes
518,250,3956.955,0.883,diabetes
519,35000,3598.333,-3.069,diabetes
520,750,3442.953,-7.866,diabetes
521,150,4631.487,13.198,prediabet
522,85000,3589.198,19.515,diabetes
523,1500,3859.558,-7.925,diabetes
524,100000,3061.622,25.047,diabetes
525,850,4109.218,-1.867,prediabet
526,60000,3065.928,7.345,diabetes
527,9000,2988.746,-9.173,diabetes
528,25000,3859.919,0.059,prediabet
529,200,5651.273,16.159,Sehat
530,60000,3872.96,15.724,prediabet
531,700,4212.521,-0.705,prediabet
532,4500,3821.059,-8.536,diabetes
533,300,4195.584,3.54,prediabet
534,7500,3702.99,-8.238,diabetes
535,6000,4020.108,-3.357,prediabet
536,1500,4656.724,2.388,Sehat
537,50000,4398.456,13.771,Sehat
538,250,3820.701,0.883,diabetes
539,4000,4517.487,1.534,Sehat
540,400,4195.191,1.118,prediabet
541,9000,3939.569,-1.994,prediabet
542,4000,4550.195,1.527,Sehat
543,55000,4048.077,13.32,prediabet
544,40000,3533.188,-1.123,diabetes
545,20000,3448.159,-5.653,diabetes
546,95000,3786.489,31.093,prediabet
547,400,4177.932,0.989,prediabet
548,7000,3860.281,-8.816,diabetes
549,400,3867.521,-3.72,diabetes
550,55000,2879.079,6.497,diabetes
551,500,4960.738,6.725,Sehat
552,1000,4056.81,-1.517,prediabet
553,5500,3494.299,-9.524,diabetes
554,600,4106.909,-0.137,prediabet
555,300,4206.605,3.149,prediabet
556,1500,3545.458,-8.207,diabetes
557,850,4815.568,3.785,Sehat
558,3000,3712.717,-8.39,diabetes
